Ticker,"Name
","Fund Asset Class Focus
","Fund Market Cap Focus
",Strategy,"Fund Industry Focus
","Fund Geographical Focus
","Maturity Band
","Fund Rating Class Focus
",Expense Ratio,Actively Managed?,,ARKK,ARK INNOVATION ETF,Equity,Broad Market,Blend,N.A.,United States,N.A.,N.A.,0.75,Y
,,,,,,,,,,,,HYLS,FIRST TRUST TACTICAL HIGH YIELD ETF,Fixed Income,N.A.,Corporate,N.A.,Global,N.A.,High Yield,1.02,Y
,,,,,,,,,,,,SHY,ISHARES 1-3 YEAR TREASURY BO,Fixed Income,N.A.,Government,N.A.,United States,Short-Term,Investment Grade A or higher,0.15,N
,,,,,,,,,,,,IGSB,ISHARES 1-5Y INV GRADE CORP,Fixed Income,N.A.,Corporate,N.A.,United States,Short-Term,Investment Grade BBB or higher,0.04,N
,,,,,,,,,,,,TLT,ISHARES 20+ YEAR TREASURY BO,Fixed Income,N.A.,Government,N.A.,United States,Long-Term,Investment Grade A or higher,0.15,N
,,,,,,,,,,,,IEF,ISHARES 7-10 YEAR TREASURY B,Fixed Income,N.A.,Government,N.A.,United States,Long-Term,Investment Grade A or higher,0.15,N
,,,,,,,,,,,,IUSB,ISHARES CORE TOTAL BOND ETF,Fixed Income,N.A.,Aggregate,N.A.,Global,N.A.,Investment Grade BBB or higher,0.06,N
,,,,,,,,,,,,AGG,ISHARES CORE U.S. AGGREGATE,Fixed Income,N.A.,Aggregate,N.A.,United States,N.A.,Investment Grade BBB or higher,0.03,N
,,,,,,,,,,,,FALN,ISHARES FALLEN ANGELS USD BOND ETF,Fixed Income,N.A.,Corporate,N.A.,United States,N.A.,High Yield,0.25,N
,,,,,,,,,,,,HYG,ISHARES IBOXX HIGH YLD CORP,Fixed Income,N.A.,Corporate,N.A.,United States,N.A.,High Yield,0.48,N
,,,,,,,,,,,,LQD,ISHARES IBOXX INVESTMENT GRA,Fixed Income,N.A.,Corporate,N.A.,United States,N.A.,Investment Grade BBB or higher,0.14,N
,,,,,,,,,,,,EMB,ISHARES JP MORGAN USD EMERGI,Fixed Income,N.A.,Government,N.A.,International,Intermediate,N.A.,0.39,N
,,,,,,,,,,,,MBB,ISHARES MBS ETF,Fixed Income,N.A.,Mortgage-Backed,N.A.,United States,N.A.,Investment Grade A or higher,0.04,N
,,,,,,,,,,,,MUB,ISHARES NATIONAL MUNI BOND E,Fixed Income,N.A.,Municipals,N.A.,United States,N.A.,Investment Grade BBB or higher,0.07,N
,,,,,,,,,,,,SHV,ISHARES SHORT TREASURY BOND,Fixed Income,N.A.,Government,N.A.,United States,Ultra Short,Investment Grade A or higher,0.15,N
,,,,,,,,,,,,TIP,ISHARES TIPS BOND ETF,Fixed Income,N.A.,Inflation Protected,N.A.,United States,Intermediate,Investment Grade A or higher,0.19,N
,,,,,,,,,,,,GOVT,ISHARES US TREASURY BOND ETF,Fixed Income,N.A.,Government,N.A.,United States,Intermediate,Investment Grade A or higher,0.05,N
,,,,,,,,,,,,JPST,JPMORGAN ULTRA-SHORT INCOME,Fixed Income,N.A.,Aggregate,N.A.,Global,Ultra Short,Investment Grade BBB or higher,0.18,Y
,,,,,,,,,,,,BIL,SPDR BLOOMBERG 1-3 MONTH T-B,Fixed Income,N.A.,Government,N.A.,United States,Ultra Short,Investment Grade A or higher,0.135,N
,,,,,,,,,,,,JNK,SPDR BLOOMBERG HIGH YIELD BOND ETF,Fixed Income,N.A.,Corporate,N.A.,United States,N.A.,High Yield,0.4,N
,,,,,,,,,,,,VCIT,VANGUARD INT-TERM CORPORATE,Fixed Income,N.A.,Corporate,N.A.,United States,Intermediate,Investment Grade BBB or higher,0.04,N
,,,,,,,,,,,,VCSH,VANGUARD S/T CORP BOND ETF,Fixed Income,N.A.,Corporate,N.A.,United States,Short-Term,Investment Grade BBB or higher,0.04,N
,,,,,,,,,,,,BSV,VANGUARD SHORT-TERM BOND ETF,Fixed Income,N.A.,Aggregate,N.A.,United States,Short-Term,Investment Grade BBB or higher,0.04,N
,,,,,,,,,,,,VGSH,VANGUARD SHORT-TERM TREASURY,Fixed Income,N.A.,Government,N.A.,United States,Short-Term,Investment Grade A or higher,0.04,N
,,,,,,,,,,,,VTEB,VANGUARD TAX-EXEMPT BOND ETF,Fixed Income,N.A.,Municipals,N.A.,United States,Intermediate,Investment Grade BBB or higher,0.05,N
,,,,,,,,,,,,BND,VANGUARD TOTAL BOND MARKET,Fixed Income,N.A.,Aggregate,N.A.,United States,N.A.,Investment Grade BBB or higher,0.03,N
,,,,,,,,,,,,BNDX,VANGUARD TOTAL INTL BOND ETF,Fixed Income,N.A.,Aggregate,N.A.,International,N.A.,Investment Grade BBB or higher,0.07,N
